"Series_Reference","Period","Data_Value","Status Code","Type","Group","Description"
"CPIQ.SAP0200","2026.03",24.88,"FINAL","Weighted average price",NA,"Beer – bottles (supermarket & liquor store)"
"CPIQ.SAP0210","2026.03",8.72,"FINAL","Weighted average price",NA,"Beer – glass (licensed premises)"
"CPIQ.SAP0220","2026.03",30.44,"FINAL","Weighted average price",NA,"Wine – cask, white (supermarket & liquor store)"
"CPIQ.SAP0230","2026.03",60.09,"FINAL","Weighted average price",NA,"Whisky (liquor store)"
"CPIQ.SAP0240","2026.03",61.25,"FINAL","Weighted average price",NA,"Cigarettes (supermarket & convenience store)"
"CPIQ.SAP0300","2026.03",12.82,"FINAL","Weighted average price",NA,"Socks – men's (clothing store & department store)"
"CPIQ.SAP0320","2026.03",43.44,"FINAL","Weighted average price",NA,"Dry cleaning – men's two-piece, woollen suit"
"CPIQ.SAP0400","2026.03",68.72,"FINAL","Weighted average price",NA,"Spouting/guttering – plastic"
"CPIQ.SAP0410","2026.03",599.97,"FINAL","Weighted average price",NA,"Concrete blocks – 390mm x 190mm x 190mm"
"CPIQ.SAP0420","2026.03",208.63,"FINAL","Weighted average price",NA,"House paint – acrylic, white"
"CPIQ.SAP0500","2026.03",245.66,"FINAL","Weighted average price",NA,"Carpet – wool, heavy duty, cut pile, width 3.66m"
"CPIQ.SAP0510","2026.03",0.95,"FINAL","Weighted average price",NA,"Electric light bulb - standard, 100 watt (supermarket)"
"CPIQ.SAP0531","2026.03",3.75,"FINAL","Weighted average price",NA,"Clothes washing powder – concentrate (supermarket)"
"CPIQ.SAP0541","2026.03",4.37,"FINAL","Weighted average price",NA,"Detergent – dishwashing liquid (supermarket)(3)"
"CPIQ.SAP0550","2026.03",4.89,"FINAL","Weighted average price",NA,"Cling food wrap – refill roll (supermarket)"
"CPIQ.SAP0600","2026.03",58.12,"FINAL","Weighted average price",NA,"General Practitioner – consultation, adult without"
"CPIQ.SAP0610","2026.03",110.69,"FINAL","Weighted average price",NA,"Optometrist – examination"
"CPIQ.SAP0620","2026.03",188.09,"FINAL","Weighted average price",NA,"Dental examination – 2 X-rays, scale and polish"
"CPIQ.SAP0700","2026.03",195.38,"FINAL","Weighted average price",NA,"Car battery – 12 volts"
"CPIQ.SAP0710","2026.03",26.98,"FINAL","Weighted average price",NA,"Petrol – 91 octane"
"CPIQ.SAP0720","2026.03",28.91,"FINAL","Weighted average price",NA,"Petrol – 95/98 octane"
"CPIQ.SAP0730","2026.03",21.46,"FINAL","Weighted average price",NA,"Diesel"
"CPIQ.SAP0740","2026.03",78.99,"FINAL","Weighted average price",NA,"Warrant of fitness – private car"
"CPIQ.SAP0910","2026.03",4.4,"FINAL","Weighted average price",NA,"Pet food – canned (supermarket)"
"CPIQ.SAP1100","2026.03",94.48,"FINAL","Weighted average price",NA,"Hairdressing – women's shampoo, cut, and blow wave"
"CPIQ.SAP1110","2026.03",5.32,"FINAL","Weighted average price",NA,"Bathroom soap – cake, 100g (supermarket)"
"CPIQ.SAP1120","2026.03",6.34,"FINAL","Weighted average price",NA,"Shampoo (supermarket)"
"CPIQ.SAP1130","2026.03",3.51,"FINAL","Weighted average price",NA,"Tissues – facial (supermarket)"
"CPIQ.SAP1141","2026.03",7.01,"FINAL","Weighted average price",NA,"Toilet paper (supermarket)"
"CPIQ.SAP1142","2026.03",73.62,"FINAL","Weighted average price",NA,"Storage costs (excluding vehicle storage)"
"CPIQ.SE101","2026.03",1370,"FINAL","Regional index","Auckland","Food"
"CPIQ.SE102","2026.03",1440,"FINAL","Regional index","Auckland","Alcoholic beverages and tobacco"
"CPIQ.SE103","2026.03",1043,"FINAL","Regional index","Auckland","Clothing and footwear"
"CPIQ.SE104","2026.03",1394,"FINAL","Regional index","Auckland","Housing and household utilities"
"CPIQ.SE104101","2026.03",1206,"FINAL","Regional index","Auckland","Actual rentals for housing"
"CPIQ.SE104201","2026.03",1612,"FINAL","Regional index","Auckland","Purchase of housing"
"CPIQ.SE105","2026.03",1164,"FINAL","Regional index","Auckland","Household contents and services"
"CPIQ.SE106","2026.03",1259,"FINAL","Regional index","Auckland","Health"
"CPIQ.SE107","2026.03",1302,"FINAL","Regional index","Auckland","Transport"
"CPIQ.SE107202","2026.03",1466,"FINAL","Regional index","Auckland","Petrol"
"CPIQ.SE109","2026.03",1276,"FINAL","Regional index","Auckland","Recreation and culture"
"CPIQ.SE111","2026.03",1348,"FINAL","Regional index","Auckland","Miscellaneous goods and services"
"CPIQ.SE1A","2026.03",1316,"FINAL","Regional index","Auckland","All Groups"
"CPIQ.SE201","2026.03",1359,"FINAL","Regional index","Wellington","Food"
"CPIQ.SE202","2026.03",1426,"FINAL","Regional index","Wellington","Alcoholic beverages and tobacco"
"CPIQ.SE203","2026.03",1125,"FINAL","Regional index","Wellington","Clothing and footwear"
"CPIQ.SE204","2026.03",1424,"FINAL","Regional index","Wellington","Housing and household utilities"
"CPIQ.SE204101","2026.03",1317,"FINAL","Regional index","Wellington","Actual rentals for housing"
"CPIQ.SE204201","2026.03",1428,"FINAL","Regional index","Wellington","Purchase of housing"
"CPIQ.SE205","2026.03",1129,"FINAL","Regional index","Wellington","Household contents and services"
